               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.011806,           0.0042153,           0.0014301,             0.97394,             0.96122,             0.97676,             0.76005,            0.017577,           0.0064262,           0.0020144,             6.1e-05,             6.1e-05,             6.1e-05
                 132,            0.011849,           0.0042586,           0.0015285,             0.97421,             0.96188,             0.97692,             0.76113,            0.017577,           0.0064334,           0.0019782,            6.07e-05,            6.07e-05,            6.07e-05
                 133,            0.011502,             0.00401,           0.0014935,             0.97629,             0.96083,             0.97695,             0.76084,            0.017576,           0.0064391,            0.001973,            6.04e-05,            6.04e-05,            6.04e-05
                 134,            0.011941,           0.0042733,           0.0015456,             0.97588,             0.96188,              0.9769,             0.76154,            0.017574,           0.0064422,             0.00197,            6.01e-05,            6.01e-05,            6.01e-05
                 135,            0.011332,           0.0040861,           0.0014307,             0.97591,             0.96203,             0.97682,             0.76126,            0.017572,           0.0064474,           0.0019686,            5.98e-05,            5.98e-05,            5.98e-05
                 136,            0.011427,           0.0039415,           0.0017881,             0.97592,             0.96123,             0.97679,             0.76043,            0.017573,           0.0064508,           0.0019639,            5.95e-05,            5.95e-05,            5.95e-05
                 137,             0.01167,           0.0040611,           0.0016562,             0.97518,             0.96173,             0.97673,             0.76129,            0.017575,            0.006452,           0.0019576,            5.92e-05,            5.92e-05,            5.92e-05
                 138,            0.011548,           0.0038755,           0.0014812,             0.97446,             0.96353,             0.97681,             0.76159,            0.017576,           0.0064559,           0.0019396,            5.89e-05,            5.89e-05,            5.89e-05
                 139,            0.011862,           0.0042286,           0.0012929,             0.97441,             0.96372,             0.97686,             0.76008,            0.017576,           0.0064613,           0.0019452,            5.86e-05,            5.86e-05,            5.86e-05
                 140,            0.011586,           0.0043398,           0.0015093,              0.9744,             0.96389,             0.97684,             0.76042,            0.017582,            0.006466,           0.0019428,            5.83e-05,            5.83e-05,            5.83e-05
                 141,            0.010789,           0.0039506,           0.0011344,             0.97436,             0.96393,             0.97688,             0.75988,            0.017585,            0.006473,           0.0019488,             5.8e-05,             5.8e-05,             5.8e-05
                 142,            0.011029,           0.0039746,           0.0015394,             0.97403,              0.9642,             0.97677,             0.76023,            0.017586,           0.0064778,           0.0019584,            5.77e-05,            5.77e-05,            5.77e-05
                 143,            0.011008,           0.0040169,           0.0015959,             0.97364,             0.96427,             0.97685,             0.75957,            0.017588,           0.0064833,           0.0019589,            5.74e-05,            5.74e-05,            5.74e-05
